mpio_ccnct,average_mean,average_min,average_max,average_stddev,average_masked_mean,average_masked_min,average_masked_max,average_masked_stddev,cf_cvg_mean,cf_cvg_min,cf_cvg_max,cf_cvg_stddev,cvg_mean,cvg_min,cvg_max,cvg_stddev,maximum_mean,maximum_min,maximum_max,maximum_stddev,median_mean,median_min,median_max,median_stddev,median_masked_mean,median_masked_min,median_masked_max,median_masked_stddev,minimum_mean,minimum_min,minimum_max,minimum_stddev,year
5002,0.0654123213260445,-0.1334076821804046,21.26975440979004,0.8388683180317638,0.0535268820825792,-0.0132112856954336,21.26975440979004,0.8373218506165393,33.05841342289939,14,45,5.165304853486465,191.503807382312,183,196,3.615336020192988,0.2403922644025457,-0.1173039451241493,27.56177520751953,1.1644670387205944,0.0517963226418923,-0.1512313932180404,21.211339950561523,0.8007439539975683,0.0497766953276969,-0.0735532939434051,21.211339950561523,0.7979652401834094,-0.0606750221211723,-0.279388964176178,15.109085083007812,0.5369091041225557,2016
5030,1.1154343066371244,0.0287662241607904,19.3895320892334,1.879784574334876,0.9386721406553696,0.0,19.3895320892334,1.9541000519794651,40.23158908437752,33,50,3.057037761345636,196.0,196,196,0.0,1.761926218601907,0.155546486377716,25.66918182373047,3.022860619444622,1.102276935644095,-0.0407670550048351,23.200700759887695,1.9582476596059888,0.9325089930034336,0.0,23.200700759887695,2.0262567438232693,0.5774758688227639,-0.1154265478253364,9.616232872009276,0.962445715809203,2016
5031,0.0305049407034402,-0.1450485289096832,20.293556213378903,0.6071627422722625,0.0248273929151657,-0.0004598163068294,20.293556213378903,0.5996219810486191,38.37873093700014,25,52,3.912593080031727,187.67427599540227,183,194,2.0568133791344474,0.2385381461770959,-0.0878738462924957,27.864646911621097,1.2803806990995212,0.015476341616058,-0.1577312797307968,20.750213623046875,0.5706649194961957,0.02234526730109,0.0,20.750213623046875,0.567649378660913,-0.1225626712809144,-0.4266148805618286,18.178447723388672,0.4108300415036432,2016
5034,0.0823093957818086,-0.1593486964702606,8.48855209350586,0.5267459529761092,0.0531568464778457,0.0,8.48855209350586,0.5209601111863196,31.11400783164419,21,47,4.068723572631412,196.48418369740264,195,197,0.5201391225928114,0.2511236010598083,-0.1053934544324874,23.190847396850582,1.099420126714977,0.0575923905027488,-0.1367677301168441,8.24642276763916,0.5511705290653323,0.049461191647035,-0.03322384506464,8.24642276763916,0.5434194335083186,-0.0609060835453097,-0.3444425165653229,4.193210124969482,0.201657189226891,2016
5036,0.3708868754378364,0.0811011791229248,3.182154417037964,0.3702940403104649,0.0962222628884861,0.0,3.182154417037964,0.4018672206634587,43.37281281678345,25,51,3.607532581826506,195.7266847370973,194,196,0.6497610625657886,0.6494711150982801,0.1899033784866333,5.557313919067383,0.5932164342607013,0.3475285289385745,0.0679297670722007,2.650205373764038,0.3407789981443766,0.0917916154471927,0.0,2.650205373764038,0.3729634032295118,0.1440384847863071,-0.1676880568265915,1.82455313205719,0.2344180546340957,2016
5038,0.0643838029851258,-0.0837094634771347,7.216156005859375,0.4123864263802705,0.0482950533337372,0.0,7.216156005859375,0.4112875303624311,40.26386434956887,28,51,3.1789412711493292,195.63812135755904,195,196,0.480788673477884,0.2344236119759924,0.0012479327851906,11.256026268005373,0.7712805790591688,0.0629461598801903,-0.1077995672821998,7.615030288696289,0.4406886801062375,0.0473955660489626,0.0,7.615030288696289,0.4397333223821745,-0.0924474359902767,-0.3142995536327362,4.186403751373291,0.2399431027534104,2016
5040,0.0148942712459565,-0.1186221987009048,6.071913242340088,0.2108288557598852,0.0181370044182265,0.0,6.071913242340088,0.2055126735225699,41.653048248560445,24,57,6.403469082173755,193.03257823336537,186,196,2.428814319874126,0.1789564892258374,-0.0572952963411808,11.82144546508789,0.4198418540877017,0.0012525229593449,-0.1709320545196533,5.938249111175537,0.206408758153835,0.0166778232274974,0.0,5.938249111175537,0.199047096776643,-0.1356354277676098,-0.4151650667190552,3.2657294273376465,0.1078805852254879,2016
5042,0.0951820631154194,-0.1076962873339653,16.249069213867188,0.7072849076627205,0.0712482424083788,0.0,16.249069213867188,0.7031542176885618,43.24781717084816,25,60,6.36454217986955,197.0,197,197,0.0,0.3183742709317512,0.0057527776807546,26.451072692871097,1.2020456513130526,0.100476122117045,-0.1342012733221054,23.12775993347168,0.8309657155699077,0.0741428104793366,-0.0182660799473524,23.12775993347168,0.8275071676457966,-0.0695475045157691,-0.3504252135753631,6.753697395324707,0.3510213813926383,2016
5051,0.0622496477660934,-0.0511708594858646,14.993574142456056,0.5225029067521983,0.0352185059259694,0.0,14.993574142456056,0.5236123922666193,67.10985778732243,49,81,4.84703243608152,194.2743692332045,190,195,0.8016783794969695,0.2619496753914216,0.0829871371388435,23.46891212463379,0.93522621976107,0.065851135440827,-0.0811095386743545,15.960841178894045,0.5184902130906496,0.0340393822992455,0.0,15.960841178894045,0.5197461544409004,-0.1087562787402474,-0.2641851305961609,9.320151329040527,0.3084292108889485,2016
5055,-0.0059748672712619,-0.2194953262805938,3.3030714988708496,0.1806616572416229,0.0136583082556085,0.0,3.3030714988708496,0.1704914228144704,27.720268716113814,16,38,3.819601896842843,190.0725496997025,182,195,3.5714055362376413,0.1238617571509274,-0.2194953262805938,5.4918389320373535,0.3063736065818006,-0.0213882936718867,-0.2194953262805938,3.4384212493896484,0.1861536359679054,0.0123216627086346,0.0,3.4384212493896484,0.17380802194306,-0.1305324056273683,-0.3727224767208099,2.1633455753326416,0.1047919619548055,2016
5079,1.329958730269122,0.0150655591860413,19.317062377929688,2.4649450305778684,1.040948902284648,0.0,19.317062377929688,2.5730463919599584,34.60901944741366,24,45,4.267336499804897,194.24565501405417,189,196,1.558974304446276,2.047091444095518,0.1223289370536804,33.19789505004883,4.103333513476093,1.3354808923818589,-0.0358297154307365,24.47749137878418,2.6850435021614825,1.0595333640892657,0.0,24.47749137878418,2.784126968179711,0.7073031435883081,-0.1397148221731186,10.94737720489502,1.2636123935044254,2016
5091,0.0577348514771034,-0.0930038839578628,1.7603590488433838,0.1352880676039426,0.0143353728218245,0.0,1.7603590488433838,0.1280752157369697,35.40481543799044,27,45,3.5842222413756284,196.7528353112266,196,197,0.4399623623513803,0.2710413999390993,-0.0341000966727733,6.270862579345703,0.4074742648383636,0.0246090102237854,-0.1267510056495666,1.3164029121398926,0.1134526426853356,0.0114235331616661,0.0,1.3164029121398926,0.0953332519216172,-0.1010032253502015,-0.2664331495761871,0.2504599690437317,0.0640176618339483,2016
5093,0.1154261263010593,-0.1233134493231773,28.580076217651367,1.115467442661254,0.0232675505304825,0.0,3.419309377670288,0.1959633680831312,40.43275538414285,25,51,3.2513973098848075,196.46269838561057,195,197,0.5350180817321731,0.4903661922390007,-0.0024980569723993,118.21219635009766,4.460516671887181,0.0435560428080276,-0.1084554269909858,3.096167802810669,0.182989672836041,0.0213617664323214,0.0,3.096167802810669,0.1774947256796077,-0.1238132131310642,-0.393330842256546,1.2512987852096558,0.0992856564133405,2016
