average_masked_max,average_masked_mean,average_masked_min,average_masked_stdDev,average_max,average_mean,average_min,average_stdDev,cat,cf_cvg_max,cf_cvg_mean,cf_cvg_min,cf_cvg_stdDev,cvg_max,cvg_mean,cvg_min,cvg_stdDev,dpto_ccdgo,dpto_cnmbr,fid,image_date,maximum_max,maximum_mean,maximum_min,maximum_stdDev,median_masked_max,median_masked_mean,median_masked_min,median_masked_stdDev,median_max,median_mean,median_min,median_stdDev,minimum_max,minimum_mean,minimum_min,minimum_stdDev,mpio_ccdgo,mpio_cdpmp,mpio_cnmbr,mpio_crslc,mpio_nano,mpio_narea,mpio_tipo,selected_m
22.174640655517578,0.016561400296934148,0.0,0.44504627831647814,22.174640655517578,0.00021731247443497928,-0.11048858612775803,0.44691967334999594,1089,52,38.5671797585604,26,3.3968153447072926,193,191.86432652920922,190,0.34243650857214036,91,AMAZONAS,769,20160101,26.360660552978516,0.13662167264567893,-0.0799257829785347,0.5492751559083573,22.56458854675293,0.016244333840111508,-0.005354071967303753,0.44199065671236365,22.56458854675293,-0.008371181087411932,-0.14091570675373077,0.44459029859797017,18.991500854492188,-0.10144599991584476,-0.41394099593162537,0.37860082960107105,001,91001,LETICIA,Decreto 352 de Feb 20 de 1964,2023,6182.41649334,MUNICIPIO,T
22.749847412109375,0.0831974220780612,-0.013211285695433617,0.9580830459079992,22.749847412109375,0.09505463595456125,-0.13340768218040466,0.9593168645519329,2,45,33.06081365620214,14,5.164395859468064,196,191.50269321647758,183,3.6145875471384565,05,ANTIOQUIA,802,20160101,29.19416618347168,0.28161030755747357,-0.11730394512414932,1.307165252200184,22.157543182373047,0.07789221246562593,-0.07355329394340515,0.9178704210170411,22.157543182373047,0.07990808234215076,-0.15123139321804047,0.9202678827643975,15.109085083007812,-0.04294234398507908,-0.279388964176178,0.6026305382921273,002,5002,ABEJORRAL,1814,2023,507.141094544,MUNICIPIO,T
19.3895320892334,1.051598129331901,0.0,1.9541000519794651,19.3895320892334,1.225107995319016,0.028766224160790443,1.879784574334876,5,50,40.23040569243841,33,3.057037761345636,196,196.0,196,0.0,05,ANTIOQUIA,80,20160101,25.66918182373047,1.9172433183992963,0.15554648637771606,3.022860619444622,23.200700759887695,1.050662072833403,0.0,2.0262567438232693,23.200700759887695,1.2173051497637037,-0.04076705500483513,1.9582476596059886,9.616232872009277,0.6350811487140766,-0.11542654782533646,0.962445715809203,030,5030,AMAGÁ,1912,2023,84.1324771488,MUNICIPIO,T
20.293556213378906,0.04245901900427528,-0.0004598163068294525,0.5991401620123805,20.293556213378906,0.04773858906750673,-0.14504852890968323,0.6066790527071577,6,52,38.38487797722377,25,3.9167256192519626,194,187.67602320817383,183,2.058025746988691,05,ANTIOQUIA,85,20160101,27.864646911621094,0.260856504491864,-0.08787384629249573,1.279473730063295,20.750213623046875,0.03872587101475544,0.0,0.5671931124042169,20.750213623046875,0.03185677621036059,-0.15773127973079681,0.5702154996043951,18.178447723388672,-0.11063176905838143,-0.4266148805618286,0.4104950630236955,031,5031,AMALFI,1843,2023,1209.14546002,MUNICIPIO,T
10.085067749023438,0.08401102012590742,0.0,0.5690779754686429,10.085067749023438,0.11299465010002312,-0.15934869647026062,0.5741118156967914,7,47,31.109861658981046,21,4.067752269291753,197,196.48603366853703,195,0.5201397835441133,05,ANTIOQUIA,89,20160101,23.190847396850586,0.31496064639140003,-0.10539345443248749,1.2141089126156581,10.577686309814453,0.0824903299752421,-0.033223845064640045,0.5941910503644605,10.577686309814453,0.09056441931211505,-0.13676773011684418,0.6012124897971911,4.193210124969482,-0.052263646582891315,-0.3444425165653229,0.20750815803974332,034,5034,ANDES,1853,2023,402.465966314,MUNICIPIO,T
3.182154417037964,0.11896461539960669,0.0,0.41968601747970735,3.182154417037964,0.39101142387447146,0.0811011791229248,0.3855696871421314,8,51,43.34785408662242,25,3.6063970626156396,196,195.72932675515187,194,0.6491578357325447,05,ANTIOQUIA,69,20160101,5.557313919067383,0.6845860749499698,0.1899033784866333,0.6380911493829731,2.650205373764038,0.11202592710507987,0.0,0.3870664936830184,2.650205373764038,0.36532260230195895,0.06792976707220078,0.3526872674905594,1.82455313205719,0.15523194966977433,-0.1676880568265915,0.2439071812233719,036,5036,ANGELÓPOLIS,Ordenanza 16 del 12 de julio de 1896,2023,81.8763017651,MUNICIPIO,T
7.216156005859375,0.05262350098899669,0.0,0.44247312793871274,7.216156005859375,0.06869295862519174,-0.0837094634771347,0.4433409752183363,9,51,40.26404769683113,28,3.1830197215651883,196,195.63846149792911,195,0.4809014350073297,05,ANTIOQUIA,797,20160101,13.29781723022461,0.2451948654819112,0.0012479327851906419,0.8365594696900432,7.615030288696289,0.0531094719954148,0.0,0.4630511372163818,7.615030288696289,0.06863547421225653,-0.10779956728219986,0.46383229804133924,4.186403751373291,-0.09154846871600716,-0.3142995536327362,0.24118371154323914,038,5038,ANGOSTURA,1821,2023,338.502286519,MUNICIPIO,T
6.071913242340088,0.02132376156130432,0.0,0.2166037204490641,6.071913242340088,0.018083661718642126,-0.11862219870090485,0.22166457679748536,10,57,41.65236099645208,24,6.402977858209209,196,193.0325365666142,186,2.428626474030546,05,ANTIOQUIA,131,20160101,11.82144546508789,0.18368682938960282,-0.0572952963411808,0.4308433182869183,6.418665409088135,0.020237743667533958,0.0,0.21435297305659973,6.418665409088135,0.004826126588432316,-0.17093205451965332,0.2212725203584063,3.837326765060425,-0.13365900284839918,-0.4151650667190552,0.11864143331208858,040,5040,ANORÍ,1821,2023,1413.77571881,MUNICIPIO,T
16.249069213867188,0.13491926064145277,0.0,0.926045795747863,16.249069213867188,0.15868092101305206,-0.1076962873339653,0.9284234234032505,11,60,43.166969029855814,25,6.379255591709839,197,197.0,197,0.0,05,ANTIOQUIA,75,20160101,26.451072692871094,0.42417855755518113,0.0057527776807546616,1.5603352343543884,23.12775993347168,0.1478356637118367,-0.01826607994735241,1.0908526753069867,23.12775993347168,0.17398121325743787,-0.1342012733221054,1.0926561963223256,6.967442989349365,-0.04120666317893225,-0.35042521357536316,0.44173393015964024,042,5042,SANTA FÉ DE ANTIOQUIA,1541,2023,525.583078416,MUNICIPIO,T
14.993574142456055,0.05383420981967654,0.0,0.5761949268283543,14.993574142456055,0.08081120482378396,-0.05117085948586464,0.5749188423023464,14,81,67.10071523472361,49,4.853026517408786,195,194.2758493043939,190,0.8016239098608461,05,ANTIOQUIA,316,20160101,23.46891212463379,0.2939083385516598,0.08298713713884354,1.0185977338240995,15.960841178894043,0.053316542238331446,0.0,0.5811640229056523,15.960841178894043,0.08506420642038082,-0.08110953867435455,0.5797235859965095,9.320151329040527,-0.09741869882209614,-0.2641851305961609,0.3374093194090677,051,5051,ARBOLETES,Decreto departamental 340 del 30 de Agosto  de 1958,2023,754.2378904,MUNICIPIO,T
