clas_ccdgo,mpio_cdpmp,shape_area,average_mean,average_min,average_max,average_stddev,average_masked_mean,average_masked_min,average_masked_max,average_masked_stddev,cf_cvg_mean,cf_cvg_min,cf_cvg_max,cf_cvg_stddev,cvg_mean,cvg_min,cvg_max,cvg_stddev,maximum_mean,maximum_min,maximum_max,maximum_stddev,median_mean,median_min,median_max,median_stddev,median_masked_mean,median_masked_min,median_masked_max,median_masked_stddev,minimum_mean,minimum_min,minimum_max,minimum_stddev,year
1,5002,0.000101079024991,12.08587591886864,0.5824968814849854,22.749847412109375,7.991074230544856,12.08587591886864,0.5824968814849854,22.749847412109375,7.991074230544856,34.05691642651297,33,39,2.135415650406285,191.0,191,191,0.0,16.948915828459537,0.9976600408554076,29.19416618347168,10.175847357194469,11.454509544698924,0.7018637657165527,22.157543182373047,7.773155127412545,11.454509544698924,0.7018637657165527,22.157543182373047,7.773155127412545,7.1650440966017985,0.2233527898788452,15.109085083007812,5.413336948884414,2016
1,5030,0.000126286337301,7.064148208081104,1.8486204147338867,12.247607231140137,3.191205371648598,7.064148208081104,1.8486204147338867,12.247607231140137,3.191205371648598,40.17323290845888,35,44,2.374897557433667,196.0,196,196,0.0,10.18775990263474,3.3464765548706055,25.095903396606445,5.9079578024285615,7.3413465597676515,1.8436609506607056,12.881759643554688,3.2086623898240525,7.3413465597676515,1.8436609506607056,12.881759643554688,3.2086623898240525,3.6948637797962336,0.7835369110107422,6.640162944793701,1.6454294134157617,2016
1,5031,0.000136001284581,12.848086509709704,1.056041955947876,20.293556213378903,5.600297961570448,12.848086509709704,1.056041955947876,20.293556213378903,5.600297961570448,40.71030042918455,39,43,1.1469767022723574,188.1233905579399,188,189,0.3399346342341918,19.6350680573048,2.12678599357605,26.979522705078125,8.000595727601102,11.93773360882962,1.0730540752410889,20.750213623046875,5.551319746040248,11.93773360882962,1.0730540752410889,20.750213623046875,5.551319746040248,8.524122751545754,0.5222001671791077,18.178447723388672,4.626981355032592,2016
1,5034,0.000170653946441,5.973436280237707,0.6379649043083191,10.085067749023438,2.78719364878102,5.973436280237707,0.6379649043083191,10.085067749023438,2.78719364878102,30.28345446772124,28,34,1.5879363810031597,196.8319794784096,196,197,0.2935435239464072,12.506502021220363,0.7761428356170654,23.190847396850582,7.272035418745403,6.386799875871398,0.4273849129676819,10.577686309814451,3.012945783671996,6.386799875871398,0.4273849129676819,10.577686309814451,3.012945783671996,1.601209616447015,0.0159221738576889,4.193210124969482,0.9608733046380252,2016
1,5036,6.2994575765e-05,2.510508434477942,1.0962889194488523,3.182154417037964,0.8232411990552523,2.510508434477942,1.0962889194488523,3.182154417037964,0.8232411990552523,40.61888111888112,39,46,2.6190408549696205,196.0,196,196,0.0,4.382996135658318,1.8413482904434204,5.557313919067383,1.4390417433350675,2.239127028516401,0.9731342792510986,2.650205373764038,0.6973041650168293,2.239127028516401,0.9731342792510986,2.650205373764038,0.6973041650168293,1.332204877218722,0.8246564865112305,1.82455313205719,0.3590363033319226,2016
1,5038,3.9426584699e-05,3.0360521976594574,1.562240481376648,3.737829208374023,0.8337596930103289,3.0360521976594574,1.562240481376648,3.737829208374023,0.8337596930103289,41.45740740740741,39,44,1.484614977916143,196.0,196,196,0.0,7.633107739907723,4.701950550079346,10.343820571899414,1.8725334495217367,4.005095476132852,1.583597183227539,5.600152492523193,1.6478915068519329,4.005095476132852,1.583597183227539,5.600152492523193,1.6478915068519329,0.5478551463948356,0.4180302023887634,0.5934818983078003,0.0582205763550153,2016
1,5040,0.00010623645764,3.4821993432913456,0.7133669853210449,5.526269435882568,1.50721365465056,3.4821993432913456,0.7133669853210449,5.526269435882568,1.50721365465056,41.03917525773196,37,43,1.5577761927397542,193.00206185567012,193,194,0.2494438257870036,5.3224419040778255,0.9716755747795104,7.973746299743652,2.218497780307372,3.8859560739543433,0.6654322147369385,6.418665409088135,1.7582610593576764,3.8859560739543433,0.6654322147369385,6.418665409088135,1.7582610593576764,2.013440693674219,0.2745533883571625,3.837326765060425,1.0353212380822212,2016
1,5042,0.000293796222494,9.377105358907489,1.928632736206055,16.249069213867188,4.343594060809928,9.377105358907489,1.928632736206055,16.249069213867188,4.343594060809928,31.472035794183434,28,37,2.129413064672992,197.0,197,197,0.0,15.78295463411007,2.8094916343688965,26.451072692871097,7.0293948269383835,10.84817836387164,1.8532774448394775,23.12775993347168,5.709825054200699,10.84817836387164,1.8532774448394775,23.12775993347168,5.709825054200699,4.07264299785916,0.9066748023033142,6.967442989349365,1.8706173694294683,2016
1,5051,0.000126660249731,9.187021571864252,1.537577509880066,14.993574142456056,4.049677759273762,9.187021571864252,1.537577509880066,14.993574142456056,4.049677759273762,62.61159420289855,54,67,3.515590277606308,195.0,195,195,0.0,15.983347296783888,2.4402055740356445,23.46891212463379,6.744562681361748,9.50746607227602,1.5922143459320068,15.960841178894045,4.274869227917371,9.50746607227602,1.5922143459320068,15.960841178894045,4.274869227917371,5.461055690516596,0.9954440593719482,9.320151329040527,2.4486614234812585,2016
1,5055,4.5961338267e-05,2.1984209025621415,0.2296300083398819,3.3030714988708496,1.015029339674074,2.1984209025621415,0.2296300083398819,3.3030714988708496,1.015029339674074,27.7344,25,30,1.3698697784375422,187.456,187,188,0.4714045207910317,3.5903813374996183,0.4817208349704742,5.4918389320373535,1.640150595987682,2.345228179740906,0.2391706258058548,3.4384212493896484,1.1284562769098347,2.345228179740906,0.2391706258058548,3.4384212493896484,1.1284562769098347,0.9579634762108328,-0.0315670035779476,2.1633455753326416,0.6491389538168418,2016
