area,average_masked_max,average_masked_mean,average_masked_min,average_masked_stdDev,average_max,average_mean,average_min,average_stdDev,cf_cvg_max,cf_cvg_mean,cf_cvg_min,cf_cvg_stdDev,cvg_max,cvg_mean,cvg_min,cvg_stdDev,dpto_cnmbr,image_date,maximum_max,maximum_mean,maximum_min,maximum_stdDev,median_masked_max,median_masked_mean,median_masked_min,median_masked_stdDev,median_max,median_mean,median_min,median_stdDev,minimum_max,minimum_mean,minimum_min,minimum_stdDev,mpio_ccnct,mpio_cnmbr
505255153.9115402,21.26975440979004,0.05352688208257921,-0.013211285695433617,0.8373218506165393,21.26975440979004,0.06541232132604452,-0.13340768218040466,0.8388683180317638,45,33.05841342289939,14,5.165304853486465,196,191.503807382312,183,3.6153360201929883,ANTIOQUIA,20160101,27.56177520751953,0.24039226440254577,-0.11730394512414932,1.1644670387205944,21.211339950561523,0.04977669532769697,-0.07355329394340515,0.7979652401834094,21.211339950561523,0.05179632264189239,-0.15123139321804047,0.8007439539975683,15.109085083007812,-0.06067502212117232,-0.279388964176178,0.5369091041225557,5002,ABEJORRAL
82461486.41201279,19.3895320892334,0.9386721406553697,0.0,1.9541000519794651,19.3895320892334,1.1154343066371244,0.028766224160790443,1.879784574334876,50,40.23158908437752,33,3.057037761345636,196,196.0,196,0.0,ANTIOQUIA,20160101,25.66918182373047,1.761926218601907,0.15554648637771606,3.022860619444622,23.200700759887695,0.9325089930034335,0.0,2.0262567438232693,23.200700759887695,1.1022769356440947,-0.04076705500483513,1.9582476596059886,9.616232872009277,0.5774758688227639,-0.11542654782533646,0.962445715809203,5030,AMAGÁ
1206188013.795283,20.293556213378906,0.02482739291516574,-0.0004598163068294525,0.5996219810486191,20.293556213378906,0.03050494070344021,-0.14504852890968323,0.6071627422722625,52,38.37873093700014,25,3.912593080031727,194,187.67427599540227,183,2.0568133791344474,ANTIOQUIA,20160101,27.864646911621094,0.23853814617709596,-0.08787384629249573,1.2803806990995212,20.750213623046875,0.022345267301090016,0.0,0.567649378660913,20.750213623046875,0.01547634161605807,-0.15773127973079681,0.5706649194961957,18.178447723388672,-0.12256267128091447,-0.4266148805618286,0.4108300415036432,5031,AMALFI
399788286.260442,8.48855209350586,0.053156846477845736,0.0,0.5209601111863196,8.48855209350586,0.0823093957818086,-0.15934869647026062,0.5267459529761092,47,31.11400783164419,21,4.068723572631412,197,196.48418369740264,195,0.5201391225928114,ANTIOQUIA,20160101,23.190847396850586,0.25112360105980835,-0.10539345443248749,1.099420126714977,8.24642276763916,0.04946119164703503,-0.033223845064640045,0.5434194335083186,8.24642276763916,0.0575923905027488,-0.13676773011684418,0.5511705290653323,4.193210124969482,-0.06090608354530978,-0.3444425165653229,0.20165718922689108,5034,ANDES
80979041.5075943,3.182154417037964,0.09622226288848611,0.0,0.4018672206634587,3.182154417037964,0.3708868754378364,0.0811011791229248,0.3702940403104649,51,43.37281281678345,25,3.607532581826506,196,195.7266847370973,194,0.6497610625657886,ANTIOQUIA,20160101,5.557313919067383,0.6494711150982801,0.1899033784866333,0.5932164342607013,2.650205373764038,0.09179161544719273,0.0,0.3729634032295118,2.650205373764038,0.34752852893857455,0.06792976707220078,0.3407789981443766,1.82455313205719,0.1440384847863071,-0.1676880568265915,0.23441805463409576,5036,ANGELÓPOLIS
337772202.7611011,7.216156005859375,0.04829505333373723,0.0,0.41128753036243115,7.216156005859375,0.0643838029851258,-0.0837094634771347,0.4123864263802705,51,40.26386434956887,28,3.1789412711493292,196,195.63812135755902,195,0.48078867347788407,ANTIOQUIA,20160101,11.256026268005371,0.23442361197599249,0.0012479327851906419,0.7712805790591688,7.615030288696289,0.04739556604896269,0.0,0.4397333223821745,7.615030288696289,0.06294615988019034,-0.10779956728219986,0.4406886801062375,4.186403751373291,-0.0924474359902767,-0.3142995536327362,0.2399431027534104,5038,ANGOSTURA
1410880646.029894,6.071913242340088,0.018137004418226518,0.0,0.20551267352256994,6.071913242340088,0.014894271245956598,-0.11862219870090485,0.21082885575988525,57,41.653048248560445,24,6.403469082173755,196,193.03257823336534,186,2.428814319874126,ANTIOQUIA,20160101,11.82144546508789,0.17895648922583743,-0.0572952963411808,0.41984185408770175,5.938249111175537,0.01667782322749742,0.0,0.19904709677664303,5.938249111175537,0.0012525229593449213,-0.17093205451965332,0.20640875815383505,3.2657294273376465,-0.13563542776760987,-0.4151650667190552,0.10788058522548793,5040,ANORÍ
521193621.00955105,16.249069213867188,0.0712482424083788,0.0,0.7031542176885618,16.249069213867188,0.09518206311541942,-0.1076962873339653,0.7072849076627205,60,43.24781717084816,25,6.36454217986955,197,197.0,197,0.0,ANTIOQUIA,20160101,26.451072692871094,0.3183742709317512,0.0057527776807546616,1.2020456513130526,23.12775993347168,0.07414281047933668,-0.01826607994735241,0.8275071676457966,23.12775993347168,0.10047612211704508,-0.1342012733221054,0.8309657155699077,6.753697395324707,-0.0695475045157691,-0.35042521357536316,0.35102138139263833,5042,SANTA FÉ DE ANTIOQUIA
751352761.1932974,14.993574142456055,0.03521850592596948,0.0,0.5236123922666193,14.993574142456055,0.06224964776609347,-0.05117085948586464,0.5225029067521983,81,67.10985778732243,49,4.84703243608152,195,194.2743692332045,190,0.8016783794969695,ANTIOQUIA,20160101,23.46891212463379,0.26194967539142167,0.08298713713884354,0.9352262197610699,15.960841178894043,0.03403938229924553,0.0,0.5197461544409004,15.960841178894043,0.06585113544082709,-0.08110953867435455,0.5184902130906496,9.320151329040527,-0.10875627874024744,-0.2641851305961609,0.30842921088894854,5051,ARBOLETES
244518068.0157038,3.3030714988708496,0.013658308255608582,0.0,0.17049142281447044,3.3030714988708496,-0.005974867271261922,-0.21949532628059387,0.18066165724162295,38,27.720268716113818,16,3.8196018968428436,195,190.07254969970253,182,3.5714055362376413,ANTIOQUIA,20160101,5.4918389320373535,0.12386175715092745,-0.21949532628059387,0.3063736065818006,3.4384212493896484,0.012321662708634638,0.0,0.17380802194306005,3.4384212493896484,-0.021388293671886778,-0.21949532628059387,0.1861536359679054,2.1633455753326416,-0.13053240562736831,-0.37272247672080994,0.1047919619548055,5055,ARGELIA
