mpio_cdpmp,mpio_narea,average_mean,average_min,average_max,average_stdDev,average_masked_mean,average_masked_min,average_masked_max,average_masked_stdDev,cf_cvg_mean,cf_cvg_min,cf_cvg_max,cf_cvg_stdDev,cvg_mean,cvg_min,cvg_max,cvg_stdDev,maximum_mean,maximum_min,maximum_max,maximum_stdDev,median_mean,median_min,median_max,median_stdDev,median_masked_mean,median_masked_min,median_masked_max,median_masked_stdDev,minimum_mean,minimum_min,minimum_max,minimum_stdDev,year
91001,6182.41649334,0.0002173124744349,-0.110488586127758,22.174640655517575,0.4469196733499959,0.0165614002969341,0.0,22.174640655517575,0.4450462783164781,38.5671797585604,26,52,3.3968153447072926,191.8643265292092,190,193,0.3424365085721403,0.1366216726456789,-0.0799257829785347,26.360660552978516,0.5492751559083573,-0.0083711810874119,-0.1409157067537307,22.56458854675293,0.4445902985979701,0.0162443338401115,-0.0053540719673037,22.56458854675293,0.4419906567123636,-0.1014459999158447,-0.4139409959316253,18.991500854492188,0.378600829601071,2016
5002,507.141094544,0.0950546359545612,-0.1334076821804046,22.749847412109375,0.9593168645519328,0.0831974220780612,-0.0132112856954336,22.749847412109375,0.9580830459079992,33.06081365620214,14,45,5.164395859468064,191.5026932164776,183,196,3.614587547138457,0.2816103075574735,-0.1173039451241493,29.19416618347168,1.307165252200184,0.0799080823421507,-0.1512313932180404,22.157543182373047,0.9202678827643976,0.0778922124656259,-0.0735532939434051,22.157543182373047,0.9178704210170412,-0.042942343985079,-0.279388964176178,15.109085083007812,0.6026305382921273,2016
5030,84.1324771488,1.225107995319016,0.0287662241607904,19.3895320892334,1.879784574334876,1.051598129331901,0.0,19.3895320892334,1.9541000519794651,40.23040569243841,33,50,3.057037761345636,196.0,196,196,0.0,1.9172433183992963,0.155546486377716,25.66918182373047,3.022860619444622,1.2173051497637035,-0.0407670550048351,23.200700759887695,1.9582476596059888,1.050662072833403,0.0,23.200700759887695,2.0262567438232693,0.6350811487140766,-0.1154265478253364,9.616232872009276,0.962445715809203,2016
5031,1209.14546002,0.0477385890675067,-0.1450485289096832,20.293556213378903,0.6066790527071577,0.0424590190042752,-0.0004598163068294,20.293556213378903,0.5991401620123805,38.38487797722377,25,52,3.9167256192519626,187.67602320817383,183,194,2.058025746988691,0.260856504491864,-0.0878738462924957,27.864646911621097,1.279473730063295,0.0318567762103605,-0.1577312797307968,20.750213623046875,0.5702154996043951,0.0387258710147554,0.0,20.750213623046875,0.5671931124042169,-0.1106317690583814,-0.4266148805618286,18.178447723388672,0.4104950630236955,2016
5034,402.465966314,0.1129946501000231,-0.1593486964702606,10.085067749023438,0.5741118156967914,0.0840110201259074,0.0,10.085067749023438,0.5690779754686429,31.10986165898105,21,47,4.067752269291753,196.48603366853703,195,197,0.5201397835441133,0.3149606463914,-0.1053934544324874,23.190847396850582,1.214108912615658,0.090564419312115,-0.1367677301168441,10.577686309814451,0.6012124897971911,0.0824903299752421,-0.03322384506464,10.577686309814451,0.5941910503644605,-0.0522636465828913,-0.3444425165653229,4.193210124969482,0.2075081580397433,2016
5036,81.8763017651,0.3910114238744714,0.0811011791229248,3.182154417037964,0.3855696871421314,0.1189646153996066,0.0,3.182154417037964,0.4196860174797073,43.34785408662242,25,51,3.60639706261564,195.72932675515187,194,196,0.6491578357325447,0.6845860749499698,0.1899033784866333,5.557313919067383,0.6380911493829731,0.3653226023019589,0.0679297670722007,2.650205373764038,0.3526872674905594,0.1120259271050798,0.0,2.650205373764038,0.3870664936830184,0.1552319496697743,-0.1676880568265915,1.82455313205719,0.2439071812233719,2016
5038,338.502286519,0.0686929586251917,-0.0837094634771347,7.216156005859375,0.4433409752183363,0.0526235009889966,0.0,7.216156005859375,0.4424731279387127,40.26404769683113,28,51,3.1830197215651883,195.63846149792911,195,196,0.4809014350073297,0.2451948654819112,0.0012479327851906,13.29781723022461,0.8365594696900432,0.0686354742122565,-0.1077995672821998,7.615030288696289,0.4638322980413392,0.0531094719954148,0.0,7.615030288696289,0.4630511372163818,-0.0915484687160071,-0.3142995536327362,4.186403751373291,0.2411837115432391,2016
5040,1413.77571881,0.0180836617186421,-0.1186221987009048,6.071913242340088,0.2216645767974853,0.0213237615613043,0.0,6.071913242340088,0.2166037204490641,41.65236099645208,24,57,6.402977858209209,193.0325365666142,186,196,2.428626474030546,0.1836868293896028,-0.0572952963411808,11.82144546508789,0.4308433182869183,0.0048261265884323,-0.1709320545196533,6.418665409088135,0.2212725203584063,0.0202377436675339,0.0,6.418665409088135,0.2143529730565997,-0.1336590028483991,-0.4151650667190552,3.837326765060425,0.1186414333120885,2016
5042,525.583078416,0.158680921013052,-0.1076962873339653,16.249069213867188,0.9284234234032503,0.1349192606414527,0.0,16.249069213867188,0.926045795747863,43.166969029855814,25,60,6.379255591709839,197.0,197,197,0.0,0.4241785575551811,0.0057527776807546,26.451072692871097,1.5603352343543884,0.1739812132574378,-0.1342012733221054,23.12775993347168,1.0926561963223256,0.1478356637118367,-0.0182660799473524,23.12775993347168,1.0908526753069867,-0.0412066631789322,-0.3504252135753631,6.967442989349365,0.4417339301596402,2016
5051,754.2378904,0.0808112048237839,-0.0511708594858646,14.993574142456056,0.5749188423023464,0.0538342098196765,0.0,14.993574142456056,0.5761949268283543,67.10071523472361,49,81,4.853026517408786,194.2758493043939,190,195,0.8016239098608461,0.2939083385516598,0.0829871371388435,23.46891212463379,1.0185977338240997,0.0850642064203808,-0.0811095386743545,15.960841178894045,0.5797235859965095,0.0533165422383314,0.0,15.960841178894045,0.5811640229056523,-0.0974186988220961,-0.2641851305961609,9.320151329040527,0.3374093194090677,2016
