average_masked_max,average_masked_mean,average_masked_min,average_masked_stdDev,average_max,average_mean,average_min,average_stdDev,cf_cvg_max,cf_cvg_mean,cf_cvg_min,cf_cvg_stdDev,cvg_max,cvg_mean,cvg_min,cvg_stdDev,dpto_ccdgo,dpto_cnmbr,image_date,maximum_max,maximum_mean,maximum_min,maximum_stdDev,median_masked_max,median_masked_mean,median_masked_min,median_masked_stdDev,median_max,median_mean,median_min,median_stdDev,minimum_max,minimum_mean,minimum_min,minimum_stdDev,mpio_ccdgo,mpio_ccnct,mpio_cnmbr,mpio_crslc,mpio_nano,mpio_narea,orig_fid,selected_m,shape_area,shape_leng
49.20627975463867,7.176705779840316,0.0,9.679518872826467,49.20627975463867,7.247705748530595,0.5041620135307312,9.616648008339633,46,37.6430886976869,26,3.9389823373611716,196,195.07638871962382,194,0.8070041838774951,05,ANTIOQUIA,20160101,67.33180236816406,10.732338091358498,0.7436773180961609,14.098362788236381,51.357086181640625,7.539952725525805,0.0,10.354089555237735,51.357086181640625,7.610359746406451,0.4159640669822693,10.294553175276564,24.329959869384766,3.683097098902675,-0.007204305846244097,4.811299668010864,380,5380,LA ESTRELLA,1833,2019,36.4847831118,1121,True,0.00299045848784,0.284162899782
54.7645378112793,16.136568723132044,1.1726112365722656,15.797715956514752,54.7645378112793,16.136568723132044,1.1726112365722656,15.797715956514752,44,33.22190201729106,24,5.181200564907532,196,194.75001412668811,194,0.6305379367109779,05,ANTIOQUIA,20160101,85.48616790771484,22.781525821330657,1.382794737815857,24.591316084015148,63.325828552246094,17.167339943469344,1.0206196308135986,18.002382242905792,63.325828552246094,17.167339943469344,1.0206196308135986,18.002382242905792,32.87955856323242,10.15522018087956,0.8187981247901917,8.755788868132486,631,5631,SABANETA,Ordenanza 7 de Noviembre 30 de 1963,2019,15.9823304225,1120,True,0.0012927762991,0.172904808107
22.749847412109375,0.08300158371116435,-0.013211285695433617,0.9580830459079992,22.749847412109375,0.09485786730779838,-0.13340768218040466,0.9593168645519307,45,33.060853599658856,14,5.164395859468064,196,191.502567283261,183,3.6145875471384565,05,ANTIOQUIA,20160101,29.19416618347168,0.28131624722567217,-0.11730394512414932,1.3071652522001849,22.157543182373047,0.0777166984752116,-0.07355329394340515,0.9178704210170411,22.157543182373047,0.0797312894433046,-0.15123139321804047,0.9202678827643974,15.109085083007812,-0.042975251415241875,-0.279388964176178,0.6026305382921273,002,5002,ABEJORRAL,1814,2018,507.1341142,305,True,0.0413833265486,1.15840529302
19.3895320892334,1.0516691130714833,0.0,1.9541000519794647,19.3895320892334,1.2251684742986153,0.028766224160790443,1.8797845743348756,50,40.230415480691626,33,3.057037761345636,196,196.0,196,0.0,05,ANTIOQUIA,20160101,25.66918182373047,1.9173381299323595,0.15554648637771606,3.0228606194446215,23.200700759887695,1.050730301100389,0.0,2.02625674382327,23.200700759887695,1.2173645434531293,-0.04076705500483513,1.9582476596059881,9.616232872009277,0.635102305984878,-0.11542654782533646,0.9624457158092021,030,5030,AMAGÁ,1912,2018,84.1324769108,302,True,0.00686650704907,0.445533013179
20.293556213378906,0.04246187733975776,-0.0004598163068294525,0.5996219810486191,20.293556213378906,0.0481316234092719,-0.14504852890968323,0.6071627422722625,52,38.38194718839387,25,3.912593080031727,194,187.67489089729577,183,2.0568133791344474,05,ANTIOQUIA,20160101,27.864646911621094,0.26520542953056514,-0.08787384629249573,1.2803806990995212,20.750213623046875,0.038728904057820215,0.0,0.567649378660913,20.750213623046875,0.03186947873163634,-0.15773127973079681,0.5706649194961957,18.178447723388672,-0.11067993117907962,-0.4266148805618286,0.4108300415036432,031,5031,AMALFI,1843,2018,1209.12687145,301,True,0.0989196015086,2.01952799444
10.085067749023438,0.08400336606066268,0.0,0.5690779754686429,10.085067749023438,0.1130040035923379,-0.15934869647026062,0.5741118156967914,47,31.10967832254851,21,4.067752269291753,197,196.48599827561674,195,0.5201397835441133,05,ANTIOQUIA,20160101,23.190847396850586,0.31497184305670434,-0.10539345443248749,1.2141089126156581,10.577686309814453,0.08248281445684053,-0.033223845064640045,0.5941910503644605,10.577686309814453,0.09057164223837783,-0.13676773011684418,0.6012124897971911,4.193210124969482,-0.05224970611822688,-0.3444425165653229,0.20750815803974332,034,5034,ANDES,1853,2018,402.502562407,300,True,0.0328195644767,1.14628545003
3.182154417037964,0.11895405032826173,0.0,0.4196860174797073,3.182154417037964,0.391031865208247,0.0811011791229248,0.38556968714213163,51,43.346910710192844,25,3.6063970626156396,196,195.72922737740518,194,0.6491578357325447,05,ANTIOQUIA,20160101,5.557313919067383,0.684621352387232,0.1899033784866333,0.6380911493829713,2.650205373764038,0.11201516557650955,0.0,0.3870664936830184,2.650205373764038,0.3653440501675032,0.06792976707220078,0.35268726749055934,1.82455313205719,0.155245337367193,-0.1676880568265915,0.24390718122337196,036,5036,ANGELÓPOLIS,Ordenanza 16 del 12 de julio de 1896,2018,81.8763016246,299,True,0.00668338735658,0.427495594486
7.216156005859375,0.052584878535282854,0.0,0.41128753036243115,7.216156005859375,0.06865053864588853,-0.0837094634771347,0.4123864263802705,51,40.265560690445184,28,3.1789412711493292,196,195.63864070255815,195,0.48078867347788407,05,ANTIOQUIA,20160101,11.256026268005371,0.24505552027396538,0.0012479327851906419,0.7712805790591688,7.615030288696289,0.053085772120269534,0.0,0.4397333223821745,7.615030288696289,0.06861404873740386,-0.10779956728219986,0.4406886801062375,4.186403751373291,-0.09152888010679493,-0.3142995536327362,0.2399431027534104,038,5038,ANGOSTURA,1821,2018,338.666482075,298,True,0.0276929889034,0.919161838352
6.071913242340088,0.021325113302512293,0.0,0.2166037204490641,6.071913242340088,0.01808536575626073,-0.11862219870090485,0.22166457679748536,57,41.65248479027792,24,6.402977858209209,196,193.03255012874885,186,2.428626474030546,05,ANTIOQUIA,20160101,11.82144546508789,0.18369039368697807,-0.0572952963411808,0.4308433182869183,6.418665409088135,0.020239093999747274,0.0,0.21435297305659973,6.418665409088135,0.004827996003374433,-0.17093205451965332,0.2212725203584063,3.837326765060425,-0.13365809511372373,-0.4151650667190552,0.11864143331208858,040,5040,ANORÍ,1821,2018,1413.77390426,297,True,0.11570588848,1.84826086734
16.249069213867188,0.13491628390227128,0.0,0.9258599835596018,16.249069213867188,0.15868606350508296,-0.1076962873339653,0.9282390315902189,60,43.16714624468329,25,6.382563725861018,197,197.0,197,0.0,05,ANTIOQUIA,20160101,26.451072692871094,0.4241833537564977,0.0057527776807546616,1.5600256483139285,23.12775993347168,0.147832374377213,-0.01826607994735241,1.0906331926310655,23.12775993347168,0.17398519893047582,-0.1342012733221054,1.092439405361113,6.967442989349365,-0.041198437844370446,-0.35042521357536316,0.4416453862757358,042,5042,SANTA FÉ DE ANTIOQUIA,1541,2018,525.601374545,296,True,0.0429287825607,1.12168365088
